Day,Date,Activity,,,,,,,,,,,,,,,,,,,,,,,
Monday,08/29/2022,"got the cycle ready, got the toaster-griller but couldnt find my blankets and pillows. left and reached a bit late for sesh. med dwayne, niko, peter, and umang. played tt and pool.",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,08/30/2022,Had the CBE meeting. Went to the gym with peter,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,08/31/2022,played badminton. Had the AO formal event. Had some mojitos and long island iced tea. Took lot of pictures. Came back and met aradhya and his friend. Played some tt with peter. Slept,,,,,,,,,,,,,,,,,,,,,,,
Thursday,09/01/2022,played basketball with Abishek. Went to the gym. Met Dua and she came over. Met niko and saran too.,,,,,,,,,,,,,,,,,,,,,,,
Friday,09/02/2022,played badminton. Had the AO formal event. Had some mojitos and long island iced tea. Took lot of pictures. Came back and met aradhya and his friend. Played some tt with peter. Slept,,,,,,,,,,,,,,,,,,,,,,,
Saturday,09/03/2022,Had duty in the morning. Walked to life and came back for no reason. Did the duty with Kyle. Met pranav and dean. Slept. Did the community meeting and decided on a monopoly theme. Gymmed a bit in totem. Played some TT with Umang and Eva. Some Vse work.,,,,,,,,,,,,,,,,,,,,,,,
Sunday,09/04/2022,went to the frat with muskan. killed two spiders in my room. set up wealthsimple account,,,,,,,,,,,,,,,,,,,,,,,
Monday,09/05/2022,"in night. had some vseus meetings, played a bit of cluedo and met jeba",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,09/06/2022,imagine day! signed up for some clubs. got a sweatshirt and bottle,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,09/07/2022,"first day of classes. went for econ, gymmed with pranav. went to the pit for a bit",,,,,,,,,,,,,,,,,,,,,,,
Thursday,09/08/2022,movie night in the floor. chilled with kashish and all,,,,,,,,,,,,,,,,,,,,,,,
Friday,09/09/2022,played badminton and cricket. went to frats with adi,,,,,,,,,,,,,,,,,,,,,,,
Saturday,09/10/2022,had maggi night and had a funny incident during rounds.,,,,,,,,,,,,,,,,,,,,,,,
Sunday,09/11/2022,"got the bike from amit mamas, played table tennis and had mexican food. Studied with Arshiya. ",,,,,,,,,,,,,,,,,,,,,,,
Monday,09/12/2022,"bubble soccer and met adi and gaurav, btm and stm. umang, xya, and priscilla came to my room. studied at night",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,09/13/2022,breakfast with umang and eva. went to food services to pay the bill. went to walter koerner to study and missed my math class. met kashish and shourya after dsci and had food at feast,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,09/14/2022,"lot of work, in night and vseus meetings. slept early",,,,,,,,,,,,,,,,,,,,,,,
Thursday,09/15/2022,"first vseus event at night, got cookies from the nest. reached vseus by 6. went very smooth and took pictures",,,,,,,,,,,,,,,,,,,,,,,
Friday,09/16/2022,ate with nour in the morning. went downtown with adi. Canada place and burrard street. saw some cool restaurants. came back and went to adis place. went to the frats for a bit. came back and slept,,,,,,,,,,,,,,,,,,,,,,,
Saturday,09/17/2022,"got up around 10, did dsci homework. went to the gym, in night so came back at and then applied for jobs",,,,,,,,,,,,,,,,,,,,,,,
Sunday,09/18/2022,,,,,,,,,,,,,,,,,,,,,,,,
Monday,09/19/2022,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,09/20/2022,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,09/21/2022,"had a chat with emrul hasan. Met anmol on the way to the event. Studied a bit with gurjas, dhruv, and pranay. Went to Adi, gaurav, and chris's place for the night",,,,,,,,,,,,,,,,,,,,,,,
Thursday,09/22/2022,Did the floor event. Went well with 12 people; Kahoot and everything. Met husam for a bit. ,,,,,,,,,,,,,,,,,,,,,,,
Friday,09/23/2022,"Was in, Watched do revenge at night. Gymmed with stall and had dunlows chicken fear the reaper. Met farrah for a bit. met ruth vidith taarini for a bit.",,,,,,,,,,,,,,,,,,,,,,,
Saturday,09/24/2022,Got up late. Went and ate with Umang. Played a bit of table tennis and pool. Went for the longboat practice. Met Erin. Came back and studied a bit. Went for Nikos thing. Came back and ordered dominos,,,,,,,,,,,,,,,,,,,,,,,
Sunday,09/25/2022,Got up late. Studied math in the morning. Went for the Case competition event. Had a lot of fun. Met Kriti and Chanya. Need to get my reimbursement for the event.,,,,,,,,,,,,,,,,,,,,,,,
Thursday,09/29/2022,went for thr real estate event. came back and went to adis place. lost wallet and found it. Slept late,,,,,,,,,,,,,,,,,,,,,,,
Friday,09/30/2022,"truth reconciliation day. did event then slept. Met tanaya and studied. went for a bike ride then met kriti. Ate at feast, went to the parking to blast music, and climbed over nitobe fences, stayed at the garden.",,,,,,,,,,,,,,,,,,,,,,,
Saturday,10/01/2022,"went for longboating and capsized second time. came back and studied. slept for a bit then went to the gym, came back ate food and studied a bit more. spent time with nubh",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Just stopped lol,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Friday ,12/22/2022,"Went to twelve west for Shariq, Pratham, Chris. Had a lot of fun. ",,,,,,,,,,,,,,,,,,,,,,,
Saturday ,12/23/2022,Moved out from totem to carrey. Chilled with Chris for a bit. ,,,,,,,,,,,,,,,,,,,,,,,
Sunday,12/24/2022,"Went for Avatar 2 with Rishav, Cash, Shivansh and all. Then went to Cash's place and chilled with them. Had a lot of fun. Came back pretty late with Chris. Got a shitty haircut",,,,,,,,,,,,,,,,,,,,,,,
Monday,12/25/2022,Went downtown with Amit Mama and everyone. Went to Bellajio Cafe and tried a lamborghinni hot chocolate. Checked out some hotels and a christmas kinda thing. Went back to burnaby and celeberated christmas. Had very tasty food and got the google home as a gift. ,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,12/26/2022,Went in the morning to get Ansh a new phone. Met Atish uncle and everyone. Went for ice skating to shipyards. Took pictures and the view was beautiful. Played cards at night,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,12/27/2022,Went for back to ubc. Had a Shawarma and watched gangs of Wasipur,,,,,,,,,,,,,,,,,,,,,,,
Thursday,12/28/2022,"played cricket, went for football with dhruva, went for ice skating with Tarvin, came back and watched cloudy with a change of meatballs with shariq",,,,,,,,,,,,,,,,,,,,,,,
Friday,12/29/2022,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,12/30/2022,"Went to Surrey to meet Vaibhav. Went to a Surrey mall and had chicken currey. Met Vaibhav, Shreya and Aarnav. Had food at Yellow Chilli and then went to Vaibhav's place. Watched Glass onion and had maggi. Slept really late",,,,,,,,,,,,,,,,,,,,,,,
Sunday,12/31/2022,"Went to Granville Island and met tarvin etc. Went to afghan palace and then dipped and went to mcds. Skated with aradhya, Tarvin, and Vaibhav. Went to English Bay at 10 and then gage. ",,,,,,,,,,,,,,,,,,,,,,,
Monday,1/1/2023,Went for a walk with Aadhar. Watched Last night in Soho. Played Cricket too i think,,,,,,,,,,,,,,,,,,,,,,,
